"LOCID" "description" "feature"
"6651" "LOC109620253" "protein FAM89A" "genome"
"6652" "LOC105339982" "uncharacterized protein LOC105339982" "genome"
"6653" "LOC105339980" "cilia- and flagella-associated protein 70 isoform X28" "genome"
"6654" "LOC105344391" "D-aminoacyl-tRNA deacylase 1" "genome"
"6655" "LOC105344381" "cell growth regulator with RING finger domain protein 1 isoform X1" "genome"
"6656" "LOC117680540" "TOG array regulator of axonemal microtubules protein 1-like" "genome"
"6657" "LOC117688944" "uncharacterized protein LOC117688944" "genome"
"6658" "LOC105344380" "uncharacterized protein LOC105344380 isoform X2" "genome"
"6659" "LOC117688943" "TOG array regulator of axonemal microtubules protein 1-like" "genome"
"6660" "LOC105344379" "RNA polymerase II-associated protein 1" "genome"
"6661" "LOC105344378" "dynein regulatory complex subunit 5" "genome"
"6662" "LOC105344376" "monocarboxylate transporter 13" "genome"
"6663" "LOC105344377" "F-box/WD repeat-containing protein 2" "genome"
"6664" "LOC105344374" "coiled-coil domain-containing protein 61 isoform X1" "genome"
"6665" "LOC105344373" "uncharacterized protein LOC105344373 isoform X1" "genome"
"6666" "LOC105344372" "5'-AMP-activated protein kinase subunit beta-2 isoform X2" "genome"
"6667" "LOC105344371" "beclin 1-associated autophagy-related key regulator" "genome"
"6668" "LOC105334178" "solute carrier organic anion transporter family member 4A1" "genome"
"6669" "LOC117688947" "uncharacterized protein LOC117688947" "genome"
"6670" "LOC117688945" "uncharacterized protein LOC117688945" "genome"
"6671" "LOC117688946" "uncharacterized protein LOC117688946" "genome"
"6672" "LOC105340623" "solute carrier organic anion transporter family member 4A1 isoform X1" "genome"
"6673" "LOC105340624" "uncharacterized protein LOC105340624" "genome"
"6674" "LOC105340612" "DDB1- and CUL4-associated factor 5" "genome"
"6675" "LOC105340613" "vam6/Vps39-like protein" "genome"
"6676" "LOC105340614" "LOW QUALITY PROTEIN: spectrin beta chain" "genome"
"6677" "LOC105340616" "LOW QUALITY PROTEIN: apoptosis-stimulating of p53 protein 2" "genome"
"6678" "LOC105340617" "kinesin light chain isoform X12" "genome"
"6679" "LOC105340618" "eukaryotic translation initiation factor 5" "genome"
"6680" "LOC105340621" "actin-related protein 2" "genome"
"6681" "LOC105340620" "neudesin" "genome"
"6682" "LOC105340622" "mannose-binding protein C-like" "genome"
"6683" "LOC109617404" "lectin isoform X2" "genome"
"6684" "LOC105332994" "endochitinase 2 isoform X2" "genome"
"6685" "LOC117689324" "uncharacterized protein LOC117689324" "genome"
"6686" "LOC105342626" "uncharacterized protein DDB_G0280579-like" "genome"
"6687" "LOC117688953" "uncharacterized protein LOC117688953" "genome"
"6688" "LOC105349174" "melatonin receptor type 1C" "genome"
"6689" "LOC117689218" "uncharacterized protein LOC117689218" "genome"
"6690" "LOC117688922" "uncharacterized protein LOC117688922" "genome"
"6691" "LOC117688921" "uncharacterized protein LOC117688921" "genome"
"6692" "LOC105320842" "uncharacterized protein LOC105320842" "genome"
"6693" "LOC105320843" "protein O-mannosyl-transferase 2" "genome"
"6694" "LOC105320844" "maleylacetoacetate isomerase" "genome"
"6695" "LOC105320845" "patatin-like phospholipase domain-containing protein 7 isoform X1" "genome"
"6696" "LOC105320846" "probable nuclear hormone receptor HR3 isoform X1" "genome"
"6697" "LOC105341080" "ectonucleoside triphosphate diphosphohydrolase 5 isoform X2" "genome"
"6698" "LOC105320847" "basal body-orientation factor 1 isoform X1" "genome"
"6699" "LOC105320862" "equilibrative nucleoside transporter 1-like" "genome"
"6700" "LOC105320849" "WD repeat-containing protein 43" "genome"
"6701" "LOC105320851" "uncharacterized protein LOC105320851" "genome"
"6702" "LOC105320852" "xanthine dehydrogenase/oxidase" "genome"
"6703" "LOC105320863" "zinc transporter 6-A isoform X1" "genome"
"6704" "LOC105320853" "protein giant" "genome"
"6705" "LOC105320854" "ribosomal RNA processing protein 36 homolog" "genome"
"6706" "LOC105320855" "WD repeat-containing protein 92" "genome"
"6707" "LOC105322881" "EF-hand calcium-binding domain-containing protein 11 isoform X2" "genome"
"6708" "LOC105322880" "F-box only protein 11" "genome"
"6709" "LOC105334049" "uncharacterized protein LOC105334049" "genome"
"6710" "LOC105322879" "beta-1,3-galactosyltransferase 1-like" "genome"
"6711" "LOC105320865" "uncharacterized protein LOC105320865" "genome"
"6712" "LOC109617702" "uncharacterized protein LOC109617702" "genome"
"6713" "LOC105320867" "DBH-like monooxygenase protein 1" "genome"
"6714" "LOC105344669" "protein RRNAD1 isoform X1" "genome"
"6715" "LOC105341040" "uncharacterized protein LOC105341040" "genome"
"6716" "LOC105344670" "uncharacterized protein LOC105344670" "genome"
"6717" "LOC105344671" "neuroendocrine convertase 1-like isoform X2" "genome"
"6718" "LOC117689158" "uncharacterized protein LOC117689158" "genome"
"6719" "LOC109620778" "uncharacterized protein LOC109620778" "genome"
"6720" "LOC117680322" "uncharacterized protein LOC117680322" "genome"
"6721" "LOC105337146" "uncharacterized protein LOC105337146" "genome"
"6722" "LOC105321631" "uncharacterized protein LOC105321631" "genome"
"6723" "LOC105328140" "uncharacterized protein LOC105328140" "genome"
"6724" "LOC109619659" "uncharacterized protein LOC109619659" "genome"
"6725" "LOC105335392" "uncharacterized protein LOC105335392" "genome"
"6726" "LOC105322832" "uncharacterized protein LOC105322832" "genome"
"6727" "LOC105336975" "dorsal-ventral patterning tolloid-like protein 1" "genome"
"6728" "LOC105336976" "actophorin" "genome"
"6729" "LOC105336977" "ectin-like" "genome"
"6730" "LOC117689161" "ectin-like" "genome"
"6731" "LOC117689162" "ectin-like" "genome"
"6732" "LOC117689325" "uncharacterized protein LOC117689325" "genome"
"6733" "LOC105329877" "ras-related protein Rab-1A-like" "genome"
"6734" "LOC105329894" "A disintegrin and metalloproteinase with thrombospondin motifs adt-2 isoform X4" "genome"
"6735" "LOC105327489" "ras-related protein Rab-1A" "genome"
"6736" "LOC105327490" "rRNA-processing protein FCF1 homolog" "genome"
"6737" "LOC105327493" "solute carrier organic anion transporter family member 4A1" "genome"
"6738" "LOC105327492" "poly [ADP-ribose] polymerase 1" "genome"
"6739" "LOC105333641" "uncharacterized protein LOC105333641" "genome"
"6740" "LOC117689163" "uncharacterized protein LOC117689163" "genome"
"6741" "LOC105327496" "homeobox protein SIX6" "genome"
"6742" "LOC105327497" "uncharacterized protein LOC105327497" "genome"
"6743" "LOC105327498" "uncharacterized protein LOC105327498" "genome"
"6744" "LOC105327499" "uncharacterized protein LOC105327499" "genome"
"6745" "LOC105327500" "uncharacterized protein LOC105327500" "genome"
"6746" "LOC105328139" "uncharacterized protein LOC105328139" "genome"
"6747" "LOC105347648" "uncharacterized protein LOC105347648" "genome"
"6748" "LOC105347650" "B-cell lymphoma/leukemia 11A isoform X1" "genome"
"6749" "LOC105321077" "CLK4-associating serine/arginine rich protein" "genome"
"6750" "LOC105321078" "uncharacterized protein LOC105321078 isoform X1" "genome"
"6751" "LOC105321079" "retinol dehydrogenase 14" "genome"
"6752" "LOC105321082" "delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial-like" "genome"
"6753" "LOC105349054" "nuclear export mediator factor NEMF" "genome"
"6754" "LOC105349055" "uncharacterized protein LOC105349055" "genome"
"6755" "LOC105349057" "lysosomal acid glucosylceramidase" "genome"
"6756" "LOC105349056" "uncharacterized protein LOC105349056" "genome"
"6757" "LOC105349067" "m7GpppN-mRNA hydrolase" "genome"
"6758" "LOC105349058" "universal stress protein YxiE" "genome"
"6759" "LOC105349059" "stress response protein NhaX" "genome"
"6760" "LOC105349060" "putative universal stress protein SSP1056" "genome"
"6761" "LOC105349061" "universal stress protein YxiE isoform X2" "genome"
"6762" "LOC105349062" "neurogenic locus protein delta-like" "genome"
"6763" "LOC105349064" "cartilage matrix protein" "genome"
"6764" "LOC105349065" "cartilage matrix protein" "genome"
"6765" "LOC109618622" "uncharacterized protein LOC109618622" "genome"
"6766" "LOC105327103" "nucleoside diphosphate-linked moiety X motif 17" "genome"
"6767" "LOC105327102" "protein pygopus-like" "genome"
"6768" "LOC105327101" "3'-5' RNA helicase YTHDC2" "genome"
"6769" "LOC117689165" "ELKS/Rab6-interacting/CAST family member 1-like isoform X2" "genome"
"6770" "LOC117689166" "uncharacterized protein LOC117689166" "genome"
"6771" "LOC105340903" "uncharacterized protein LOC105340903" "genome"
"6772" "LOC105327100" "lachesin isoform X2" "genome"
"6773" "LOC105327098" "uncharacterized protein LOC105327098 isoform X1" "genome"
"6774" "LOC109618620" "uncharacterized protein LOC109618620" "genome"
"6775" "LOC105327096" "uncharacterized protein LOC105327096 isoform X2" "genome"
"6776" "LOC105327095" "myosin-IIIb isoform X1" "genome"
"6777" "LOC105327093" "potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3 isoform X1" "genome"
"6778" "LOC117680472" "cartilage matrix protein-like" "genome"
"6779" "LOC105318714" "cartilage matrix protein" "genome"
"6780" "LOC105322128" "fatty acid-binding protein" "genome"
"6781" "LOC105322131" "FERM domain-containing protein 5 isoform X4" "genome"
"6782" "LOC105322129" "probable gluconokinase" "genome"
"6783" "LOC105329461" "adhesion G-protein coupled receptor V1" "genome"
"6784" "LOC105329336" "fanconi-associated nuclease 1" "genome"
"6785" "LOC105329339" "sorting nexin-24" "genome"
"6786" "LOC105322443" "ras GTPase-activating protein 1 isoform X1" "genome"
"6787" "LOC105322441" "uncharacterized protein LOC105322441" "genome"
"6788" "LOC105322442" "proteasome subunit alpha type-4" "genome"
"6789" "LOC105322440" "uncharacterized protein LOC105322440 isoform X1" "genome"
"6790" "LOC105322439" "GPN-loop GTPase 2" "genome"
"6791" "LOC109617918" "uncharacterized protein LOC109617918 isoform X1" "genome"
"6792" "LOC105322438" "glycosylated lysosomal membrane protein" "genome"
"6793" "LOC105322437" "uncharacterized protein LOC105322437" "genome"
"6794" "LOC105322436" "stomatin-like protein 2, mitochondrial" "genome"
"6795" "LOC105331808" "uncharacterized protein LOC105331808 isoform X1" "genome"
"6796" "LOC105320885" "uncharacterized protein LOC105320885 isoform X1" "genome"
"6797" "LOC105322435" "putative ammonium transporter 3 isoform X2" "genome"
"6798" "LOC105322432" "aryl hydrocarbon receptor nuclear translocator homolog isoform X3" "genome"
"6799" "LOC105322433" "conserved oligomeric Golgi complex subunit 1 isoform X2" "genome"
"6800" "LOC105322431" "homer protein homolog 2 isoform X9" "genome"
"6801" "LOC105322430" "uncharacterized protein LOC105322430" "genome"
"6802" "LOC105322429" "lamin Dm0" "genome"
"6803" "LOC105322428" "sorbitol dehydrogenase" "genome"
"6804" "LOC105322427" "lysoplasmalogenase-like protein TMEM86A" "genome"
"6805" "LOC105322425" "uncharacterized protein LOC105322425" "genome"
"6806" "LOC105322424" "CCAAT/enhancer-binding protein zeta" "genome"
"6807" "LOC105322423" "dr1-associated corepressor" "genome"
"6808" "LOC105322422" "BTB/POZ domain-containing protein 9" "genome"
"6809" "LOC105322420" "bifunctional glutamate/proline--tRNA ligase isoform X2" "genome"
"6810" "LOC105322419" "uncharacterized protein LOC105322419 isoform X1" "genome"
"6811" "LOC105322418" "uncharacterized protein LOC105322418" "genome"
"6812" "LOC105322446" "WD repeat-containing and planar cell polarity effector protein fritz homolog" "genome"
"6813" "LOC105322417" "39S ribosomal protein L48, mitochondrial" "genome"
"6814" "LOC105322416" "uncharacterized protein LOC105322416" "genome"
"6815" "LOC105341132" "kelch-like protein 9" "genome"
"6816" "LOC105322414" "kanadaptin" "genome"
"6817" "LOC105322413" "elongation factor 2" "genome"
"6818" "LOC105322410" "amyloid-beta A4 precursor protein-binding family A member 1 isoform X6" "genome"
"6819" "LOC117689326" "craniofacial development protein 2-like" "genome"
"6820" "LOC105317436" "uncharacterized protein LOC105317436 isoform X1" "genome"
"6821" "LOC117689327" "amyloid-beta A4 precursor protein-binding family A member 2-like" "genome"
"6822" "LOC105322444" "uncharacterized protein LOC105322444" "genome"
"6823" "LOC117689225" "amyloid-beta A4 precursor protein-binding family A member 2-like" "genome"
"6824" "LOC117689224" "uncharacterized protein LOC117689224 isoform X1" "genome"
"6825" "LOC117689227" "uncharacterized protein LOC117689227 isoform X1" "genome"
"6826" "LOC105344449" "uncharacterized protein LOC105344449 isoform X1" "genome"
"6827" "LOC105322773" "uncharacterized protein LOC105322773 isoform X1" "genome"
"6828" "LOC105336589" "uncharacterized protein LOC105336589" "genome"
"6829" "LOC105349046" "uncharacterized protein LOC105349046 isoform X1" "genome"
"6830" "LOC105349070" "signal-induced proliferation-associated 1-like protein 1 isoform X1" "genome"
"6831" "LOC105331699" "ribonuclease Oy" "genome"
"6832" "LOC105320363" "KIF-binding protein" "genome"
"6833" "LOC105320366" "cytoplasmic dynein 2 light intermediate chain 1-like" "genome"
"6834" "LOC105320364" "protein numb-like isoform X2" "genome"
"6835" "LOC117689190" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like" "genome"
"6836" "LOC117689189" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like" "genome"
"6837" "LOC105318991" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like" "genome"
"6838" "LOC105335342" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1" "genome"
"6839" "LOC105335343" "sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1" "genome"
"6840" "LOC117689193" "uncharacterized protein LOC117689193" "genome"
"6841" "LOC105337633" "uncharacterized protein LOC105337633 isoform X1" "genome"
"6842" "LOC105337634" "uncharacterized protein LOC105337634" "genome"
"6843" "LOC105326729" "complement C1q-like protein 3" "genome"
"6844" "LOC105326730" "uncharacterized protein LOC105326730" "genome"
"6845" "LOC105326733" "protein PFC0760c-like" "genome"
"6846" "LOC105326734" "breast cancer metastasis-suppressor 1-like protein isoform X1" "genome"
"6847" "LOC105326736" "N-alpha-acetyltransferase 30" "genome"
"6848" "LOC105326737" "glycine-rich cell wall structural protein 2-like" "genome"
"6849" "LOC105326738" "trihydrophobin-like isoform X1" "genome"
"6850" "LOC105326739" "RNA-binding protein lark isoform X2" "genome"
"6851" "LOC105326753" "complement C1q tumor necrosis factor-related protein 2" "genome"
"6852" "LOC105337444" "complement C1q tumor necrosis factor-related protein 2-like" "genome"
"6853" "LOC105337443" "complement C1q tumor necrosis factor-related protein 1" "genome"
"6854" "LOC105337445" "uncharacterized protein LOC105337445" "genome"
"6855" "LOC105337442" "collagen alpha-2(VIII) chain" "genome"
"6856" "LOC117689197" "complement C1q tumor necrosis factor-related protein 6-like" "genome"
"6857" "LOC105348818" "uncharacterized protein LOC105348818 isoform X2" "genome"
"6858" "LOC105345667" "cytoplasmic dynein 1 heavy chain 1 isoform X10" "genome"
"6859" "LOC105345658" "uncharacterized protein LOC105345658" "genome"
"6860" "LOC105345651" "prothrombin" "genome"
"6861" "LOC117689251" "uncharacterized protein LOC117689251" "genome"
"6862" "LOC105345642" "plasminogen" "genome"
"6863" "LOC105342077" "myosin-11 isoform X3" "genome"
"6864" "LOC105342074" "sorting nexin-6" "genome"
"6865" "LOC117689382" "uncharacterized protein LOC117689382" "genome"
"6866" "LOC105342083" "spindle pole body component 110 isoform X1" "genome"
"6867" "LOC105339578" "trichohyalin isoform X31" "genome"
"6868" "LOC117689383" "uncharacterized protein LOC117689383" "genome"
"6869" "LOC105339571" "kinesin-like protein KIF26B" "genome"
"6870" "LOC117689446" "kinesin-like protein CG14535" "genome"
"6871" "LOC117680497" "kinesin-like protein KIF26B" "genome"
"6872" "LOC105339573" "protein qua-1" "genome"
"6873" "LOC105339576" "uncharacterized protein LOC105339576 isoform X2" "genome"
"6874" "LOC117689328" "uncharacterized protein LOC117689328" "genome"
"6875" "LOC105339577" "uncharacterized protein LOC105339577 isoform X2" "genome"
"6876" "LOC105319951" "uncharacterized protein LOC105319951" "genome"
"6877" "LOC117689392" "uncharacterized protein LOC117689392" "genome"
"6878" "LOC105319945" "kyphoscoliosis peptidase" "genome"
"6879" "LOC105348195" "uncharacterized protein LOC105348195" "genome"
"6880" "LOC105348196" "hillarin" "genome"
"6881" "LOC105348197" "plasminogen" "genome"
"6882" "LOC105348200" "uncharacterized protein LOC105348200" "genome"
"6883" "LOC105338339" "hillarin" "genome"
